author,published,title,content,language,site_url,main_img_url,type,label
neoholographic,2016-10-27T01:01:00.000+03:00,the words extraordinary claims needs to be banished when talking extraterrestrials,ufo over the east valley here in az last night page  link i couldnt take any pictures i live in west mesa and the lights were way east over queen creek area lots of my friends and family started calling me right when the lights started happening so i went out to my balcony and there they were some people got some pretty good videos i know some people will say they are flares from a plane but if they are flares why do they dispensary right away typically if its a flare it will stay ignited for a short period of time kinda nuts i only witnessed the later  lights when it was dark out it was pretty cool to see and stopped soon after it started what does ats think edit on  by praetorianaz because no reason given,english,abovetopsecret.com,http://files.abovetopsecret.com/images/ats10.jpg,bs,Fake
Peeple,2016-10-27T00:53:00.000+03:00,we know the truth,found this nugget in podesta files fastwalkers and dsp program page  found this in the podesta files id   its probably well known already just thought id post it just in case podesta had forwarded this letter he received onto leslie kean date  john  just tuck this in your ufo files for future reference one of the government programs that collects hard data on unidentified flying objects is the usaf dsp satellite program i can add a little insight to rumors published on the web while i was never fully briefed into the dsp operation directly i was introduced to them as the us prepared for operation desert shield and desert storm on occasion i had lunch with a few of them in the cafeteria of a highly classified organization in el segundo ca no one could get into the cafeteria without tssci clearances so this was not lightweight group of gossipers one of these times a member of that group was really excited  said theyd just picked up fastwalker i assumed that same day he described how it entered our atmosphere from deep space origin actually unknown of course but from the backside of the satellite and zipped by the dsp satellite pretty closely on its way to earth not only was it going very fast but it made a  degree course correction turn which means it did not have a ballistic free fall reentry trajectory that a meteorite might have so it was under some sort of control  although whether it was manned or just robotic theres no way to tell although its now  years later one factoid makes me think the usaf is still collecting information on these fastwalkers reading the current official usaf dsp fact sheet there is this line near the end in addition researchers at the aerospace corporation have used dsp to develop portions of a hazard support system that will aid public safety in the future wwwlosangelesafmil also much of the information on this site is accurate although i do not know the author or his sources ufodigestcom somewhere within that usaf program office is many years worth of fastwalker data if someone were to collect and analyze it patterns will emerge that provide information about the various types of craft and their destinations which would add substantiation to eyewitness claims on the ground about ufo activity furthermore it would be interesting to understand the dates of these appearances  is there a certain time of the every year they swarm in which might indicate a resource mining operation or might there be a correlation with major events on earth such as the detonation of the first atomic bomb at white sands in  although no dsps existed to provide any info on that particular event regards,english,abovetopsecret.com,http://files.abovetopsecret.com/images/ats10.jpg,bs,Fake
PraetorianAZ,2016-10-26T23:51:00.000+03:00,ufo over the east valley here in az last night,you have a work bunker what is it exactly that you do man if the world went to crap the last thing i would be concerned about is ensuring my employer keeps the loot rolling in lol in fact if that does go down im jumping in my truck with a motivational item and coming to work to stock up the mine site has enough food for  people a for  weeks at a time i live out in the country im on well water  liter propane tank for heat and out door boiler the genny is hooked up to a  liter gas storage container my house that im building up the road from my current house already has the solar panels hooked up on a  volt system everyday theres a buck or a couple does in the yard lots of partridge and bears around if things get rough only thing we would be lacking is fresh vegetables over the winterwhich could be problematic,english,abovetopsecret.com,http://files.abovetopsecret.com/images/ats3.jpg,bs,Fake
seentoomuch,2016-10-26T21:13:00.000+03:00,found this nugget in podesta files fastwalkers and dsp program,kids being made to vote for president in school page  link i live in west virginia my kids came home today from school and was talking about voting at school for the next president they explained something similar to a ballot where they had to put a check mark beside who they wanted as president along with their home address and signature i have never heard of this  as my kids have never had to do this before or was i notified that my kids would be voting my kids are age  and   in grade school and another in middle  jr high school i asked them if they were given any documentation from school about the nominees they showed me  paper that spoke about all of hillarys achievements and on the back it shows trumps however the paper seemed biased speaking of hillarys accomplishments and barely spoke of trump other than he built a few buildings and was on a tv show i do not own a actual camera other than my phone so the pic is bit blurry picture of document again sorry for the blurry picture my kids have been going to school here all their lives i have never seen this before might be something new has anyone else seen this before edit on pmpt by apoc because no reason given link originally posted by apoc i live in west virginia my kids came home today from school and was talking about voting at school for the next president they explained something similar to a ballot where they had to put a check mark beside who they wanted as president along with their home address and signature i have never heard of this  as my kids have never had to do this before or was i notified that my kids would be voting my kids are age  and   in grade school and another in middle  jr high school i asked them if they were given any documentation from school about the nominees they showed me  paper that spoke about all of hillarys achievements and on the back it shows trumps however the paper seemed biased speaking of hillarys accomplishments and barely spoke of trump other than he built a few buildings and was on a tv show i do not own a actual camera other than my phone so the pic is bit blurry urlhttppostimgorgimagevtvwykvblurry picture of _url again sorry for the blurry picture my kids have been going to school here all their lives i have never seen this before might be something new has anyone else seen this before this has been done for years i remember it happening when i was in nd grade more than  years ago i have heard that polling grade school children on presidential elections is actually more accurate than scientific polls children tend to hear what their parents opinions are on the subject without all the filters they subconsciously vote the way their parents will vote supposedly,english,abovetopsecret.com,http://files.abovetopsecret.com/images/ats12.jpg,bs,Fake
vlawde,2016-10-27T02:54:39.811+03:00,emp event forthcoming,link this guy didnt even win reelection but he thinks hes got a mandate of some sort to take up arms if the candidate he supports doesnt win in november link to tweet  wreckless selfserving selfaggrandizing illiberal undemocratic moronic and contrary to the very rule of law his candidate purports to stand for when hes not ginning up cancerous fantasies among the froathymouthed sheep who fancy themselves as revolutionaries akin to the american colonists muskets lol okay alex jones no joe youre just an asshole blathering about civil war if your pick of leader doesnt win the day theres nothing laudable about that unbelievable how carelessly people like walsh are yapping about something that could result in millions of dead people and the end to america as we know it make trump president or else  edit on  by theantediluvian because no reason given,english,abovetopsecret.com,http://files.abovetopsecret.com/images/ats16.jpg,bs,Fake
apoc36,2016-10-27T02:54:41.397+03:00,kids being made to vote for president in school,two powerful quakes hit italy within hours page  near the location of the deadly august quake see ats for the august quake info the first quake a magnitude quake struck the same region the epicenter was about  kilometers away southsouthwest of visso it hit at  pm  pm et between perugia and macerata according to ansa the second quake  with a magnitude of   was  kilometers  miles north of visso and  km  miles from perugia the usgs reported the depth of both is  km there have been  aftershocks  and  also at a depth of  km we dont have any reported victims but were in the dark and under a downpour said mauro falcucci the mayor of the small town of castelsantangelo sul nera according to state news agency ansa cnns barbie nadeau was in rome when the quakes struck incredible aftershock or earthquake felt in testaccio in rome wow she said on twitter video showed a blocked road much of the are is small vilages that cant be reached by night some reports of damage and an injury has come in newscomau the quakes crumbled churches and buildings knocking out power and sending panicked residents into the raindrenched streetsone person was injured in visso where the rubble of collapsed buildings tumbled into the streets but the civil protection agency which initially reported two injured had no other immediate reports of injuries or deaths were without power waiting for emergency crews said the mayor of castel santangelo sul nera a tiny town just north of some of the hardhit areas of the august  quake edit on  by reldra because no reason given edit on  by reldra because no reason given italian prime minister renzi tweets i want to thank those who are working in the rain in the earthquake areas all italy hugs those affected  matteorenzi edit on  by reldra because no reason given edit on  by reldra because no reason given new topics,english,abovetopsecret.com,http://files.abovetopsecret.com/images/ats4.jpg,bs,Fake
theantediluvian,2016-10-27T02:54:46.091+03:00,congressmen turned radio host joe walsh recklessly talks muskets if trump loses,gov bill weld encourges supporters to stop trump page  statement by gov bill weld this is basically a backwards endorsement of hillary against that backdrop i would like to address myself to all those in the electorate who remain torn between two socalled major party candidates whom they cannot enthusiastically support im speaking particularly to those republicans who feel that our president should exhibit commonly accepted standards of decency and discipline snip after careful observation and reflection i have come to believe that donald trump if elected president of the united states would not be able to stand up to this pressure and this criticism without becoming unhinged and unable to perform competently the duties of his office i wonder what effect this will have on libertarian party members if any i think its unfortunate that people are feeling forced to support hillary in order to stop trump trump supporters need to take a long hard look in the mirror and realize that such a repulsive person a man some voted for just for the lulz has ensured a clinton presidency you didnt stand up to the establishment you sent people fleeing to it a reply to kali check out the pretend libertarian if i were libertarian id be ticked off heres part of my supposed ticket endorsing one of the least libertarian candidates ever by making a fear play what a bunch of doo doo feces this thread is so voting for trump isnt standing up to the establisment have you not watched veritas have you not read anything from wikileaks at this point im completely convinced if hillary wins this election every women in america will be wearing a hijab within her presidency the draft will make a return because we will be at war with russia and china ok trump isnt a politician and at this point i dont think thats what we need being president doesnt mean you have to be involved in politics your whole life president of the us should be someone who has the values of america instilled in their heart they should have america first mentality hillary wants a  increase in muslim refugees the same ones murdering and raping women throughout europe the same ones who think because a woman isnt islamic they can do whatever they want to them hillary wants amnesty and open borders great so lots more columbian drug lords sending people over our border i want to feel safe in my own country thats all i want not fancy tax plans free college more jobs trump makes me feel safe,english,abovetopsecret.com,http://files.abovetopsecret.com/images/ats15.jpg,bs,Fake
reldra,2016-10-27T02:54:48.091+03:00,two powerful quakes hit italy within hours,link years ago i came here for the ufos and after a small amount of time i stopped believing mostly due to nothing being real anymore most stuff is faked at least in my opinion the below is true even if its not as exciting as cgi videos my main reason for posting is about one of the very few times i saw stuff back in summer of july i went on a camping trip to possum kingdom lake in west texas with a friend robert my last trip as a single guy before i got married the following month the trip was a lot of canoeing swimming cliff diving snorkeling and camping out at night beneath the stars no tent just star gazing while we eventually drifted off to sleep nightly robert and i were best friends and also worked together too anyway one really really dark chilly and moonless night about pm or so we had tucked ourselves in our sleeping bags and had a really good spot elevated with no distractions to look at the night sky i had excellent vision then and could see pretty danged good i was  my friend was  he partook of the herb and drank beer daily and i consumed a few beers daily by nightfall we were tuckered out and wanted nothing more than to just go to sleep the heat of the west texas day really took it out of us the campsite was only accessed by boat we used a rental canoe so we paddled our way to this place that was a fairly large and very rugged rocky peninsula with some cliffs being  foot high they seemed a lot taller to me we camped on the top of the cliffs at night and played down on the water by day so this one night i was looking at a particular spot up there above us and he was looking at another i then saw it and said look right there he having binoculars he looked at where i had pointed saw it and got pretty excited he finally let me look at it through his binoculars and what i saw was the following slightly larger than what we normally see a satellite was a transparent or semitransparent and faint bluish looking sphere a clear bubble really moving at a speed i remember as being slightly faster than what a satellite would be going but not so much faster or slower than any planejet traffic would be in my estimation it was going south and we watched it by passing the binoculars back and forth we both assumed it was a satellite exciting stuff but then one of us i really cant remember who noticed another one this time coming from the east they appeared to be on a course that appeared to us that would be really a close call if they were at the same altitude when they were getting a little too close for comfort at least for us the one that came from the east shot a light bluish light at the southbound sphere it wasnt laserlike at all i dont think but it appeared more like a vshaped beam from a flashlight shot at it it lasted all of a second and i am positive that it happened due to we both saw it at the same time the light flash made the southbound one turn westward now going almost the same direction as the one from the east making them both going in the same direction actually the one that got flashed didnt make a  degree turn it was really going more of a path more like westsouthwest more like  degrees or so just guessing now when i say that it turned it turned abruptly not at all anything like any plane would do that struck us both as being odd no curving involved at all we watched them until they both grew dim from the distance both staying in a straight line to their intended destination of course we kept thinking that the one that flashed the beam would turn and follow the other but nope i could be wrong on the speed and the directions but the rest is completely accurate the really sharp turn back then was unheard of we hear it all of the time now years ago though it wasnt talked about at all not even in the tabloids this is why this really stood out out to me all of these years that almost  degree turn to be honest i just didnt understand what we had just seen we finally got to sleep that night i dont know how long it took us but we did but after a few hours around ish am robert woke me up and said listen and i heard footsteps that scared us pretty good cause we had gotten so worked up earlier i guess heheh we listened to the small branches and small gravel rocks moving beneath whatever it was that was about to kill us well we did until we finally scared ourselves to sleep i have to admit ok yeah i did partake myself but only a little bit i wasnt into it like him but i was on vacation that made us both very paranoid i guess anyway the next morning we found our bread and peanut butter missing the breads plastic wrapper was there but no bread creepy a few years later my boss who i had told all of this to and he made fun of me told me that the same thing happened to him his peanut butter and bread went missing while camped on a river they determined that it was a raccoon which they do this sort of thing i know now now to regular people that might not seem like much especially now days here on this forum more spectacular claims are made daily still for back then it was really something my older brother by  years and i were camping with no tent underneath the starry sky of caddo lake in east texas around  in the spring may i think and we were looking at a patch of sky surrounded by silhouetted trees actually talking about when we were kids looking for flying saucers thats all they were known as back then our entire family would look out at the sky in our backyard it was a common thing for us to do back in the fifties after all that was its heyday as we stared at the sky in the back of my pickup i mentioned the bluish sphere that i had seen years before at possum kingdom lake he being quiet through the entire story he wasnt that talkative really and within  minutes of me mentioning this to him we saw one i had my own binoculars this time i was really amazed it was exactly as what i had seen before i mean exactly nothing major happened though it just quietly slid across the sky in front of us and disappeared behind the trees to our right and that was that my brother was never a believer anyway maybe had it landed it would change his mind we saw several regular ol satellites afterwards too why i even bring this up is that when i first started coming here around  lurking i read a thread of a guy here that saw the exact thing i did with the slightly vshaped flashlight looking beam and the other blue sphere turning away id really love to read that again it was a good feeling to be somewhat confirmed i say confirmed because that friend robert that witnessed the sphere denied it in front of a lot of people at work we hardly talked about anything else on that trip and especially on the way home too assuming he felt as i did i brought it up when a bunch of guys were taking a break at work maybe  people i didnt see the harm in telling what we saw after i said my piece i said ask robert robert said i was crazy and he didnt see a thing i thought he was kidding but he was being serious youd think that on the way back hed say that he wasnt wanting to tell anyone but nooo edit on  by recrisp because typo,english,abovetopsecret.com,http://files.abovetopsecret.com/images/ats3.jpg,bs,Fake
Kali74,2016-10-27T02:54:49.093+03:00,gov bill weld encourges supporters to stop trump,link well that didnt go as planned anyway my first thread so i can indulge i have to admit getting to here was not easy this forum or my brain is really different than other places so hopefully i do this right i have a thread or two that i have wanted to do this is my beginning to that howdy from texas too i have to mention that edit on  by recrisp because no reason given,english,abovetopsecret.com,http://files.abovetopsecret.com/images/ats4.jpg,bs,Fake
recrisp,2016-10-27T02:54:50.332+03:00,little blue balls,russia puzzled by norways decision to host us marines page  link norway is to break a decadesold commitment not to host foreign troops on its soil by accommodating  us marines next year russia the apparent target of the buildup said it was puzzled by the move the marines will be stationed at the vaernes military base in central norway from january the norwegian defense ministry said in a statement on monday the agreement for the deployment will be reviewed in the course of the year it added source i was one of the few posters on this forum who expressed that norways decision to have marines deployed on its home soil was significant part of the reason i believe it is significant is russias reaction to the move our opinions mean nothing in this matter if russia considers the move to be significant then its significant i wonder if posters will be able to put aside their egos for this thread and not focus on their view of this issue but focus on russias view quoting from the article linked above the deployment appears to be in line with natos strategy to boost its military presence close to russias borders the alliance decided to send four strong battalions each to poland and the baltic states claiming it was needed to deter russia please put it all in context from russias point of view edit on  by profusion because no reason given,english,abovetopsecret.com,http://files.abovetopsecret.com/images/ats7.jpg,bs,Fake
